-- texts/amharic-1.txt
የግዕዝ: EOK (Ethiopic)
ፊደል: EOK (Ethiopic)
ሁሉም: EOK (Ethiopic)
የሰው: EOK (Ethiopic)
ልጆች: EOK (Ethiopic)
የተወለዱት: EOK (Ethiopic)
በነፃነት: EOK (Ethiopic)
እና: EOK (Ethiopic)
በክብር: EOK (Ethiopic)
እና: EOK (Ethiopic)
በመብት: EOK (Ethiopic)
እኩል: EOK (Ethiopic)
ናቸው: EOK (Ethiopic)
የማሰብ: EOK (Ethiopic)
እና: EOK (Ethiopic)
የህሊና: EOK (Ethiopic)
ችሎታ: EOK (Ethiopic)
ተሰጥቷቸው: EOK (Ethiopic)
እርስ: EOK (Ethiopic)
በርሳቸው: EOK (Ethiopic)
በወንድማማችነት: EOK (Ethiopic)
መንፈስ: EOK (Ethiopic)
መተጋገዝ: EOK (Ethiopic)
አለባቸው: EOK (Ethiopic)
-- texts/arabic-1.txt
نص: EOK (Arabic)
عربي: EOK (Arabic)
يولد: EOK (Arabic)
جميع: EOK (Arabic)
الناس: EOK (Arabic)
أحرارًا: EOK (Arabic)
ومتساوين: EOK (Arabic)
في: EOK (Arabic)
الكرامة: EOK (Arabic)
والحقوق: EOK (Arabic)
وقد: EOK (Arabic)
وهبوا: EOK (Arabic)
عقلاً: EOK (Arabic)
وضميرًا: EOK (Arabic)
وعليهم: EOK (Arabic)
أن: EOK (Arabic)
يعامل: EOK (Arabic)
بعضهم: EOK (Arabic)
بعضًا: EOK (Arabic)
بروح: EOK (Arabic)
الإخاء: EOK (Arabic)
-- texts/armenian-1.txt
Հայ: EOK (Armenian)
գիր: EOK (Armenian)
Բոլոր: EOK (Armenian)
մարդիկ: EOK (Armenian)
ծնվում: EOK (Armenian)
են: EOK (Armenian)
ազատ: EOK (Armenian)
և: EOK (Armenian)
հավասար: EOK (Armenian)
արժանապատվության: EOK (Armenian)
և: EOK (Armenian)
իրավունքների: EOK (Armenian)
մեջ: EOK (Armenian)
Նրանք: EOK (Armenian)
օժտված: EOK (Armenian)
են: EOK (Armenian)
բանականությամբ: EOK (Armenian)
և: EOK (Armenian)
խղճով: EOK (Armenian)
և: EOK (Armenian)
պետք: EOK (Armenian)
է: EOK (Armenian)
միմյանց: EOK (Armenian)
հանդեպ: EOK (Armenian)
վարվեն: EOK (Armenian)
եղբայրության: EOK (Armenian)
ոգով: EOK (Armenian)
-- texts/bengali-1.txt
বাংলা: EOK (Bengali)
লিপি: EOK (Bengali)
সমস্ত: EOK (Bengali)
মানুষ: EOK (Bengali)
স্বাধীনভাবে: EOK (Bengali)
জন্মগ্রহণ: EOK (Bengali)
করে: EOK (Bengali)
এবং: EOK (Bengali)
মর্যাদা: EOK (Bengali)
ও: EOK (Bengali)
অধিকারে: EOK (Bengali)
সমান: EOK (Bengali)
তারা: EOK (Bengali)
যুক্তি: EOK (Bengali)
এবং: EOK (Bengali)
বিবেক: EOK (Bengali)
দ্বারা: EOK (Bengali)
সমৃদ্ধ: EOK (Bengali)
এবং: EOK (Bengali)
ভ্রাতৃত্বের: EOK (Bengali)
চেতনায়: EOK (Bengali)
একে: EOK (Bengali)
অপরের: EOK (Bengali)
প্রতি: EOK (Bengali)
আচরণ: EOK (Bengali)
করা: EOK (Bengali)
উচিত: EOK (Bengali)
-- texts/bopomofo-1.txt
ㄅㄞˇ: EOK (Bopomofo)
ㄎㄜ: EOK (Bopomofo)
ㄑㄩㄢˊ: EOK (Bopomofo)
ㄕㄨ: EOK (Bopomofo)
百科全書: EOK (Bopomofo, Han)
百科全书: EOK (Bopomofo, Han)
ㄓㄨˋ: EOK (Bopomofo, Han)
ㄧㄣ: EOK (Bopomofo, Han)
ㄈㄨˊ: EOK (Bopomofo, Han)
ㄏㄠˋ: EOK (Bopomofo, Han)
-- texts/bulgarian-1.txt
български: EOK (Cyrillic)
кирилица: EOK (Cyrillic)
Всички: EOK (Cyrillic)
човешки: EOK (Cyrillic)
същества: EOK (Cyrillic)
се: EOK (Cyrillic)
раждат: EOK (Cyrillic)
свободни: EOK (Cyrillic)
и: EOK (Cyrillic)
равни: EOK (Cyrillic)
по: EOK (Cyrillic)
достойнство: EOK (Cyrillic)
и: EOK (Cyrillic)
права: EOK (Cyrillic)
Те: EOK (Cyrillic)
са: EOK (Cyrillic)
надарени: EOK (Cyrillic)
с: EOK (Cyrillic)
разум: EOK (Cyrillic)
и: EOK (Cyrillic)
съвест: EOK (Cyrillic)
и: EOK (Cyrillic)
трябва: EOK (Cyrillic)
да: EOK (Cyrillic)
се: EOK (Cyrillic)
отнасят: EOK (Cyrillic)
един: EOK (Cyrillic)
към: EOK (Cyrillic)
друг: EOK (Cyrillic)
в: EOK (Cyrillic)
дух: EOK (Cyrillic)
на: EOK (Cyrillic)
братство: EOK (Cyrillic)
-- texts/chinese-s-1.txt
简体中文: EOK (Han)
人人生而自由: EOK (Han)
在尊严和权利上一律平等: EOK (Han)
他们被赋予了理性和良知: EOK (Han)
应该本着兄弟情谊的精神相互对待: EOK (Han)
-- texts/chinese-trad-1.txt
中國傳統的: EOK (Han)
人人生而自由: EOK (Han)
在尊嚴和權利上一律平等: EOK (Han)
他們被賦予了理性和良知: EOK (Han)
應該本著兄弟情誼的精神相互對待: EOK (Han)
-- texts/cyrillic-1.txt
Кириллица: EOK (Cyrillic)
Все: EOK (Cyrillic)
люди: EOK (Cyrillic)
рождаются: EOK (Cyrillic)
свободными: EOK (Cyrillic)
и: EOK (Cyrillic)
равными: EOK (Cyrillic)
в: EOK (Cyrillic)
своем: EOK (Cyrillic)
достоинстве: EOK (Cyrillic)
и: EOK (Cyrillic)
правах: EOK (Cyrillic)
Они: EOK (Cyrillic)
наделены: EOK (Cyrillic)
разумом: EOK (Cyrillic)
и: EOK (Cyrillic)
совестью: EOK (Cyrillic)
и: EOK (Cyrillic)
должны: EOK (Cyrillic)
действовать: EOK (Cyrillic)
по: EOK (Cyrillic)
отношению: EOK (Cyrillic)
друг: EOK (Cyrillic)
к: EOK (Cyrillic)
другу: EOK (Cyrillic)
в: EOK (Cyrillic)
духе: EOK (Cyrillic)
братства: EOK (Cyrillic)
-- texts/english-1.txt
All: EOK (Latin)
human: EOK (Latin)
beings: EOK (Latin)
are: EOK (Latin)
born: EOK (Latin)
free: EOK (Latin)
and: EOK (Latin)
equal: EOK (Latin)
in: EOK (Latin)
dignity: EOK (Latin)
and: EOK (Latin)
rights: EOK (Latin)
They: EOK (Latin)
are: EOK (Latin)
endowed: EOK (Latin)
with: EOK (Latin)
reason: EOK (Latin)
and: EOK (Latin)
conscience: EOK (Latin)
and: EOK (Latin)
should: EOK (Latin)
act: EOK (Latin)
towards: EOK (Latin)
one: EOK (Latin)
another: EOK (Latin)
in: EOK (Latin)
a: EOK (Latin)
spirit: EOK (Latin)
of: EOK (Latin)
brotherhood: EOK (Latin)
-- texts/farsi-1.txt
خط: EOK (Arabic)
فارسی: EOK (Arabic)
همه: EOK (Arabic)
انسانها: EOK (Arabic)
آزاد: EOK (Arabic)
به: EOK (Arabic)
دنیا: EOK (Arabic)
می: EOK (Arabic)
آیند: EOK (Arabic)
و: EOK (Arabic)
از: EOK (Arabic)
نظر: EOK (Arabic)
حیثیت: EOK (Arabic)
و: EOK (Arabic)
حقوق: EOK (Arabic)
با: EOK (Arabic)
هم: EOK (Arabic)
برابرند: EOK (Arabic)
آنها: EOK (Arabic)
دارای: EOK (Arabic)
عقل: EOK (Arabic)
و: EOK (Arabic)
وجدان: EOK (Arabic)
هستند: EOK (Arabic)
و: EOK (Arabic)
باید: EOK (Arabic)
نسبت: EOK (Arabic)
به: EOK (Arabic)
یکدیگر: EOK (Arabic)
با: EOK (Arabic)
روحیه: EOK (Arabic)
برادری: EOK (Arabic)
رفتار: EOK (Arabic)
کنند: EOK (Arabic)
-- texts/georgian-1.txt
ქართული: EOK (Georgian)
დამწერლობა: EOK (Georgian)
ყველა: EOK (Georgian)
ადამიანი: EOK (Georgian)
იბადება: EOK (Georgian)
თავისუფალი: EOK (Georgian)
და: EOK (Georgian)
თანასწორი: EOK (Georgian)
ღირსებითა: EOK (Georgian)
და: EOK (Georgian)
უფლებებით: EOK (Georgian)
ისინი: EOK (Georgian)
დაჯილდოვებულნი: EOK (Georgian)
არიან: EOK (Georgian)
გონიერებითა: EOK (Georgian)
და: EOK (Georgian)
